URL,Title,Location,Salary,Summary
https://uk.indeed.com/rc/clk?jk=f3a46b2917570fec&fccid=9013fe46d330e874&vjs=3,Engineer - Python - Colleague & Operations,London EC1N,,"Brilliant customer experiences at this kind of pace, require fresh and appealing products to be available whenever and however our customers shop with us."
https://uk.indeed.com/rc/clk?jk=cd00fd73745713d1&fccid=5fe4d7014c8c8247&vjs=3,Junior DevOps Engineer,London,,"You will establish configuration management, automate our infrastructure, implement continuous integration, and ensure that members of the technology team are…"
https://uk.indeed.com/rc/clk?jk=248ff08347d91e8b&fccid=2c97f9555235f285&vjs=3,CONTRACT NETWORK SECURITY AUTOMATION ENGINEER,Bristol,£475 a week,Contract opportunity for a contract Network Security Automation Engineer.Day rate £350 – £475 per day (outside IR35).Fully Remote initial 6 month contract.
https://uk.indeed.com/rc/clk?jk=45fe349e1db9718e&fccid=eef0ccdb6f0c00eb&vjs=3,.NET Developers,London,£600 - £650 a day,"£600 - £650 per day..NET Developers - Contract - London/Remote - £600-650 per day.(.NET CORE, C#, SQL, Azure, CI/CD Pipelines, Microservices)."
https://uk.indeed.com/rc/clk?jk=1d26495122224884&fccid=8f35589a37e69470&vjs=3,Golang Developer - Decentralised Trading - Remote - Blockcha...,Greater London,"£90,000 - £150,000 a year",This company have developed a complex platform for creating and trading financial products on a completely de-centralised open-source network.
https://uk.indeed.com/rc/clk?jk=3002955eda3b5ca7&fccid=d1c7fa52f243b208&vjs=3,GO Developer / GoLang Developer (cross train) - Remote,Birmingham,"£40,000 - £65,000 a year","£40000 - £65000 per annum + Excellent benefits package.100% Remote position currently, plan on occasional office work when safe to return, based on individuals…"
https://uk.indeed.com/rc/clk?jk=84fa30a129396db4&fccid=04f36097f3ddf22e&vjs=3,Senior Golang Developer,London,"£70,000 - £75,000 a year","On offer is a salary package of up to £75,000 (DOE) + 10% annual bonus."
https://uk.indeed.com/rc/clk?jk=f9ce96951533b99d&fccid=71d9b918578c004a&vjs=3,Platform Engineer (Contract),London,,We are now looking for a consultant to come in on a contract basis and share their knowledge and expertise to assist Attest in a project that will level up our…
https://uk.indeed.com/rc/clk?jk=247f4db5ae7e1b0d&fccid=f17180ffbe436a3c&vjs=3,Data Scientist - II,London W4 5YB,,"We are looking for top talent, whose deep quantitative expertise and problem-solving skills are matched only by their passion for Maths and Data Design."
https://uk.indeed.com/rc/clk?jk=252210dd2c06678a&fccid=9013fe46d330e874&vjs=3,Associate Engineer - Java - Colleague & Operations,London EC1N,,"Every week we move millions of products to our customers at record speeds.Brilliant customer experiences at this kind of pace, require fresh and appealing…"
